,Raw,Root
0,used,use
1,incorporated,incorpor
2,set,set
3,keyboard,keyboard
4,server,server
5,monitor,monitor
6,Medical,medic
7,‘Splat,splat
8,sorted,sort
9,aluminium,aluminium
10,reproduce,reproduc
11,plugging,plug
12,logged,log
13,required,requir
14,greetings,greet
15,Dogpile,dogpil
16,magnetic,magnet
17,fixed,fix
18,email,email
19,household,household
20,store,store
21,combination,combin
22,clicking,click
23,documents,document
24,website,websit
25,operating,oper
26,standards,standard
27,storage,storag
28,Common,common
29,receiving,receiv
30,‘Pets,pet
31,including,includ
32,audio,audio
33,multipurpose,multipurpos
34,Transfer,transfer
35,applications,applic
36,do,do
37,etc,etc
38,detect,detect
39,see,see
40,for,for
41,simple,simpl
42,selling,sell
43,example,exampl
44,share,share
45,Advanced,advanc
46,compatible,compat
47,note,note
48,between,between
49,browser,browser
50,writing,write
51,common,common
52,electronic,electron
53,Chat,chat
54,circuit,circuit
55,at,at
56,tools,tool
57,larger,larger
58,package,packag
59,they,they
60,select,select
61,items,item
62,special,special
63,well,well
64,search,search
65,able,abl
66,normally,normal
67,interface,interfac
68,W,w
69,that,that
70,form,form
71,lists,list
72,style,style
73,enable,enabl
74,as,as
75,remove,remov
76,systems,system
77,Word,word
78,music,music
79,their,their
80,hardware,hardwar
81,while,while
82,inserted,insert
83,find,find
84,features,featur
85,user’s,user
86,chip’,chip
87,home,home
88,cameras,camera
89,one,one
90,graphics,graphic
91,using,use
92,Networks,network
93,variety,varieti
94,not,not
95,illness,ill
96,Microsoft,microsoft
97,with,with
98,coated,coat
99,equipment,equip
100,browsing,brows
101,slots,slot
102,becoming,becom
103,ina,ina
104,designed,design
105,stored,store
106,plugged,plug
107,light,light
108,button,button
109,Various,various
110,interlinked,interlink
111,build,build
112,include,includ
113,any,ani
114,desk,desk
115,menus,menus
116,pressing,press
117,a,a
118,compact,compact
119,user,user
120,uploading,upload
121,integrated,integr
122,graphic,graphic
123,influenced,influenc
124,eg,eg
125,found,found
126,vast,vast
127,known,known
128,access,access
129,entertainment,entertain
130,different,differ
131,together,togeth
132,contains,contain
133,carried,carri
134,available,avail
135,the,the
136,Worid,worid
137,delay,delay
138,connection,connect
139,free,free
140,purpose,purpos
141,ie,ie
142,handheld,handheld
